item_name,item_type,ingredients
Ashoka Dal Makhani,food,"water, black gram, cream (milk) , onion, red kidney beans, tomato paste, sunflower oil, butter (milk, salt) , cashewnut, ginger, salt, coriander leaves, garlic, chilli powder, spices (anistar, black cardamom, black pepper, caraway, cassia, chilli, clove, salt, coriander, cumin, dry ginger, fennel seeds), green chilli, turmeric powder, cardamom, cinnamon, clove. contains: milk & cashewnut processed in a facility that also processes tree nuts, peanuts, soya, mustard and sesame"
Haldiram Khatta Meetha,snack,"refined palmolein oil, rice flakes , bengal gram flour (besan) , refined sugar, split pulse bengal gram (chana dal) groundnuts (peanuts) , sago , red lentils (masur whole) , edible common salt, black salt, turmeric acidity regulator (ins 330), red chilli, ajwain, raising agent s500i) & asafoetida tard seed"
Balaji Wafers Simply Salted,snack,"potato , edible vegetable oil (palmolein), iodized salt"
Dr. Oetker Dr Oetker Funfoods Veg Mayonnaise,condiment,"refined soyabean oil, water, sugar, milk solids, lodised salt, stabilizers (ins415, ins1442), acidity regulators (ins260, preservatives (ins211, ins202), antioxidant (ins319)"
Kelloggs Corn Flakes Original,drink,"corn grits 87.7%, sugar, malt extract, iodized salt, vitamins, ins320"
Amul Taaza Milky Milk,food,pasteurised homogenised toned milk
Protinex Original,food,"peanut protein hydrolysate , sugar, malt extract, maltodextrin, minerals (tribasic calcium phosphate, ferrous gluconate), choline bitartrate vitamins (ascorbic acid, niacinamide, d-alpha tocopheryl acetate, phytomenadione, retinyl palmitate, thiamine mononitrate, ergocalciferol, riboflavin, pantothenol, pyridoxine hydrochloride, folic acid, cyanocobalamin, d-biotin)"
Maiyas Moong Dal,snack,"greengram dal , edible vegetable oil, salt. allergy advice: made in a facility that processes peanuts, treenuts, milk, wheat and sesame"
Haldirams Moong Dal,drink,"split mung bean , vegetable oil (peanut, corn & cotton seed) and salt"
Haldirams Takatak Chatpata Masala,snack,"rice meal, edible vegetable oil (palmolein oil), corn meal,gram meal, spices and condiments (red chilli powder , raw mango powder, coriander powder, cumin powder, garlic powder, anise powder , black pepper powder, nutmeg powder, cinnamon powder, onion powder, spices extract), edible common salt, whey powder, maltodextrin, dextrose and acidity regulators (ins 330 & ins 296). contains added flavour (natural and nature identical flavouring substances)"
Patanjali Chyawanprash with Saffron,drink,each 10g contains 450 mg wth(sida cordifolia) ya phaseolus tribulus) freg ute (piper longum) hai leramnus labialis) 1 (pistacia integerrima) tt ephyllanthus niruri) t(vitis vinifera) dha-t (leptadenia reticulate) 45 mg 45 mg 55 mg 45 mg e 45 mg a 45 mg 25 mg a 45 mg (terminalia chebula) 45 mg fretu (tinospora cordifolia) 45 mg 45 mg 45 mg f 45 mg 45 mg 45 mg 45 mg 45 mg 45 mg 90 mg 45 mg 45 mg (habenaria intermedia) trare (malaxis acuminate) (curcuma zedoaria) eet(cyperus rotundus) t-ta (boerhaavia diffusa) r(polygonatum cirrhifolium) eteer (nymphaea nouchall) rta(puraria tuberosa) (adhatoda vasica) r(roscoea alpine) (martynia diandra) mfg. ii kl-181
Tata Salt,condiment,"edible common salt, potassium iodate (2mg) and anticaking agent (ins 536)"
Haldirams Haldirams Pasta,drink,semoule(rawa)
Haldirams Lite Chiwda,food,"rice flakes,refined palmolein oil,bengal gram flour,tapioca starch,refined sugar,iodised salt and turmeric"
Tropicana Mixed Fruit Delight,drink,"water, concentrated mixed fruit juice (from apple, mango, guava, orange, banana, apricot, peach), sugar, acidity regulator (330), stabilizers (466, 440), salt, sweetener (960), contains permitted natural colour (160a(i)) and added flavour (natural and nature identical flavouring substances)"
Parle Krack Jack Medium Pack,food,"t: .6g mrp rs. 10 0nclof all taxes 75 ducts pvt crossing 6691 8901719 703058 our edible vegetab. eoils a mo e noil palmo sugar (179 ii ), 5 il)341 (i) ], invert sugar syrup , edible common salt ( 0.9% dents whe ng rais ng agentsi ea, acidity regulators20,296, emulsife oi-acetyl tartaric acid esters of mono d di glycerides of eoible 9agetable oilsidough conditioner [ 223 i and improver am ylase"
Del Monte Tomato Ketchup,condiment,"water, tomato paste 29%, sugar, iodized salt, acidity regulator (ins 260), thickeners (ins 1422, ins 415), spices and condiments (onion powder, garlic powder, and mixed spices) and preservative (ins 211)"
Britannia Good Day Cashew Cookies Medium Pack 600g,snack,"refined wheat flour (maida), refined palm oil, sugar, cashew nuts , invert sugar milk solids, butter , raising agents [503(ii) & 500(ii)], iodised salt, emulsifiers (322(i), 471 & 472e] and flavours [nature identical and artificial (milk and vanilla) flavouring substances]"
Lipton Green tea,drink,flavoured green tea tea bags contains added natural flavours
Dukes Creme 4 Fun,snack,"refined wheat flour(maida), sugar, refined palm oil, invert syrup, i0dized salt, raising agents [503(ii), 500(ii)], emulsifiers (322, 471), starch, dough conditioner (223), hjmectant (422) and strawberry fruit powder. contains permitted synthetic food colour(127) and added flavours (artificial flavouring substances - vanilla, strawberry). (numbers in brackets as per international numbering system.), allergen: contains wheat, soya & sulphites. may contain traces of milk & tree nuts"
Delouis Fils Dijon Mustard,condiment,"mustard seeds , vinegar , water , salt"
LaxmiNarayan Special Potato Chiwda,snack,"potato, peanut oil, peanuts, raisins, cashewnuts, sugar, salt, green chili powder, vegetable oil. contains no artificial colours flavours & preservatives"
Saffola Masala Oats - Classic Masala,drink,"rolled oats , maltodectrin, salt, spices and condiments (onions, tumeric, pepper, cumin, garlic, fenugreek, clove, nutmeg, red chili), dried vegetables (carrots , onions flakes , green peas), sugar, starch, hydrolysed vegetable protein, wheat powder, flavour enhancers ns 627,631), anlioxidant (320). contains added flavour-natural and nature identical flavouring substances"
pepsico Pepsi Cola Zero Sugar 250ml Can,drink,"carbonated water, acidity regulators (338,330) smeeteners (955, 950), preservative (211), caffeine contains permitted natural colour (150d) and added flavour (natural flavouring substances)"
Amul Masti Dahi,sweet,"milk, milk solids, active culture"
Maggi - Desi Cheesy,food,if a serve is 60.5g nutrition per per xgda*per information 100g serve 13% serve 439 266 5.8 12% energy (kcal protein (g) carbohydrate (g) - total sugars(g) 9.6 10 65.7 39.7 15% 2% 2.5 1.5 - sugar (sucrose)/g) 1.5 0.9 5% 22 1.3 13% - fiber (g) total fat (g) - saturated fat (g) - trans fat (g) é 153 9.3 7.2 43 22% 0.13 0.08 34% sodium (mg) 1362.0 824.0
KitchenFeast The Superb Taste KitchenFeast GARAM MASALA,drink,black pepper cumin ginger big cardamom bay leaves cinnamon coriander clove small cardamom long pepper nutmeg • mace fennel
KitchenFeast The Superb Taste KitchenFeast MEAT MASALA,drink,"coriander, turmeric, cumin, red chilli, ginger, poppy seeds, kashmiri chilli, • salt, fennel, fenugreek seeds, black pepper, small cardamom, big cardamom, bay leaves, black salt, black mustard, indian mustard, nutmeg mace"
Maggi rich tomato sauce,condiment,"water,sugar,tomato paste,salt,acidity regulator,thickening agents"
Sunfeast dark fantasy Choc Fills,snack,"choco crème [sugar, refined palm oil, refined palmolein, cocoa solids, antioxidant (ins 3220)) ,contains added flavour(s) (nature identical flavouring substances - chocolate and artificial flavouring substances ethyl vanillin)], wheat flour, hydrogenated vegetable oil, sugar, invert syrup, liquid glucose, raising agents (ins 503(i), ins 500(i), ins 450()), cocoa solids , butter, milk solids, edible common salt and emulsifiers (ins 322(0), ins 471), contains permitted natural colour(s) (ins 150c, ins 150d) and added flavour(s) (nature identical flavouring substances-chocolate and mal artificial flavouring substances-vanilla, milk) do y da"
Britannia Brit bourbon 150g (sys),snack,"refined wheat flour (maida) sugar refined palm oil edible maize starch colours (150a. 150d. 122, 110, 133 & 102) cocoa solids (2.72) milk solids raising agents (500m) & 503@] emulsifiers 471 & 322@] milk chocolate (0.12) emulsifier (3220))) nature identical & artificial (vanilla, chocolate milk & milky cocoa) flavouring substances iodised salt"
Jaouda Perly,snack,"milk cream, cream, sugar, banana, bacteria"
Patanjali COWS GHEE,food,milk fat from cow's milk
Raw Pressery Valencia Orange,drink,"valencia orange juice , citrus fiber, antioxidants [(ins 224), vitamin c-ins 300] contains naturally occuring sugars"
Passendale classic,food,"pasteurized cow's milk, salt, lactic acid ferments, rennet, natural dye: annatto"
Haldirams Namkeen,food,"gram pulse flour, rice flex black salt paper bishop wee d ginger powder black pepper powder"
Wai wai,snack,"refined wheat flour, edible vegetable oil (palm), wheat gluten, lodised salt, acidity regulator (500ii, 451i, 1 70i), thickener (412) flavour enhancer (621) soy sauce, tomato sauce, green chilli sauce, onion, black pepper, citric acid (330) and caramel (150d) (carryover from soya sauce seasoning (codex/indian fc 12.2.2): lodised solt, sugar, spices and condiments, black salt, fleur enhancers (621, 627, 631), garic, molodetrin (1400), coriander, tecmeric (100i1), chilli, cunin, ginger, hydrolyzed protein, citric acid (330), ock pepper, clove, small cardamom, cinnamon, boy leaves, fennel, big cardamom, anistar, anlicoeno ogent (551), emulsifying and stabilizing ogent (433) onion flavoured oil: edible vegetable oil (palro olein) & on"
Ashoka Chana Pulao,drink,"water, basmati rice, chickpeas, potatoes, onions, tomato, sunflower oil, tomato paste, salt, garlic, ginger, green chilli, coriander leaves, mint leaves, red chilli powder, spices (coriander powder, black pepper, aniseeds, cinnamon, nutmeg, sesame seeds, black cardamom, green cardamom, clove, bay leaves, star anise, caraway seeds, ajwain seeds, mace, stone flower), cumin, turmeric powder, turmeric, oleoresin"
Sprite,drink,"carbonated water, sugar, acidity regulators (330, 331(iii)), preservative (211), flavours (natural flavoring substances)"
Balaji Wafers Chaat Chaska,snack,"potato , edible vegetable oil (palmolein), lodized salt, †spices & condiments 0.5% (cumin, chilli, parsley, ginger, cinnamon, black pepper, dry mango), dehydrated vegetable powder (onion, garlic), sugar, maltodextrin, flavour enhancer (ins 627, ins 631), acidity regulator (ins 296, ins 330), anticaking agent (ins 551)"
balaji wafers tomato twist,snack,"edible vegetable oil potato (palmolein), sugar, iodized salt, maltodextrin, soices"
balaji wafers flamin hot,food,"corn , edible vegetable oil (palmolein), iodized salt, chilli powder, black salt, maltodextrin, dehydrated vegetable powder (garlic, onion, lemon), hydrolyzed vegetable protein (soya), acidity regulator (ins 330), flavour enhancer (ins 627. ins 631), yeast extract, oregano, anticaking agent (ins&quot"
Aashirvaad Superior MP Atta,drink,whole wheat
Princes FOOD,food,"mackerel [fish], sunflower oil, water, salt. ocean of catch: atlantic, northeast)"
Bisleri,drink,"treated water, minerals (magnesium sulphate, potassium bicarbonate)"
Britannia Brittania Maska chaska,snack,"refined wheat flour (maida), edible vegetable oil (palm), sugar, liquid glucose, raising agents [503(ii), 500(ii), 450(i)], butter , black salt, milk solids, edible vegetable product , iodised salt, acidity regulator [341(ii)], dough conditioner (223) and improver [1101(0)1. contains added flavour [artificial flavouring substance (butter))"
Real Mixed fruit juice,drink,"fheotreth tetra pak biskts good réal belief something that's good for children should also make them smile. that's why, what your child needs is a unique blend of fruit nutrition and irresistible taste. at réal, we believe that healthy is happy. nutritional facts per 100 ml energy protein carbohydrate (approximate)"
Philadelphia Cheese Spread (Original),food,"pasteurized cow's milk, cream (from cow's milk), whey, salt, thickener (e412), acid (e330), lactic culture"
Kuthu vilakku,food,"carbohydrates,protein,fat,energy,dietary fibre"
Simply Nature Coconut oil,drink,organic coconut oil contains: coconut
Kurkure Puffcorn,snack,"inredients: cereal products (corn meal , rice meal ), edible vegetable oil (palmolein), *seasoning (sugar, lodised salt, maltodextrin, spices and condiments, milk solids, cheese, salt replacer (potassium chloride), flavour (natural and nature identical flavouring substances), flavour enhancers (627, 631), acidity regulators (296, 330), emulsifying & stabilising agent ((331(iii), 471, 327)), gram meal , calcium carbonate (170(i)), lodised salt. *as flavouring agent. contains onion and garlic allergen advice: contains soy, milk, wheat"
Ananda Paneer,food,milk solids
kurkure,snack,"cereal products (rice meal , corn meal ), edible vegetable oil (rice bran oil, sesame oil), *seasoning spices & condiments, lodised salt, sugar, flavour (natural and nature identical flavouring substances), black salt, tomato powder, acidity regulators (330, 296, 334), colour (160c), maltodextrin), gram meal . as flavouring agent. &quot;contains onion and garlic lergen advice: contains sulphite"
Kurkure Solid Masti Masala Twisteez Crisps,snack,"edible vegetable oil (palmolein), edible starch, besan , rice flour , potato powder, lodised salt, *seasoning (~spices and condiments, maltodextrin, lodised salt, black salt, milk solids, acidity regulators (330, 296, 334), flavour (natural and nature identical flavouring substances), sugar, tomato powder) *as flavouring agent. ~contains onion allergen advice: contains nuts, milk may contain sulphite"
Mister Potato The Macho Barbecue Flavour Potato Crisps,snack,"dehydrated potato flakes, palm olein [contains permitted antioxidant (e320). tapioca starch, bbq flavour (contains soy), contains emulsifier as permitted food conditioner (e322, e471) (contains soy), salt, sugar, spices, contains monosodium glutamate (e621) as permitted flavour enhancer. may contain traces: milk"
N2H GULKAND,food,"sugar, rose"
Cadbury Dairy Milk Chocolate,snack,"sugar , milk solids, cocoa butter, cocoa solids ,edible vegetable fat, emulsifiers(442,476)"
Dr. Oetker Dr. Oetket,food,"refined soyabean oil,water, cheese , milk solids,sugar, lemon juice, iodised salt, tomato paste, red chillies 0.8%, acidity regulators (ins260, ins330), emulsifier and stabilizer (ins415),mixed spices, preservatives (ins211, ins202), antioxidant (ins319)"
Haldirams Bhujia Sev,food,"apaty beans (moth dal) flour, refined cotton seed &quot;‘1, bengal gram flour (besan). iodised salt. red chilli powder. clove powder, black pepper, dried powder, cardamom. bay leaves - nutmeg"
Haldirams Haldirams Alu Bhujia,snack,"potato, refined palmolein oil, bengal gram flour (besan), potato flakes, potato starch, tapioca starch, tapary beans (moth dal) flour, iodised salt,red chilli powder, black salt, acidity regulator (ins 330), black pepper, clove, cardamom, dried ginger powder, dried garlic powder, refined sugar, cumin powder, bay leaves, nutmeg, cinnamon and mint leaves"
Capital Foods Manchow Instant Noodles,drink,"noodles: wheat flour, refined palm oil, salt, potassium chloride (gelling agent, e508), wheat gluten, sodium polyphosphate (emulsifying agent, e452(i)), potassium carbonate (acidity regulator, e501(i)), sodium hydrogen carbonate (raising agent, e500(ii)), tertiary butylhydroquinone (antioxidant, e319) seasoning mix: garlic powder, iodised salt, mixed spices 12.6% (chilli, ginger, black pepper), corn starch, hydrolysed soy protein, sugar, onion powder, disodium 5' - guanylate, disodium 5' inosinate (flavour enhancers, e627, e631), edible palm oil, soy sauce powder, caramel (natural colour e150d), citric acid (acidity regulator, e330), contains permitted natural colour (caramel, e150d) and added flavours (natural and nature identical flavouring substances)"
Karachi Bakery Butterly Osmania Biscuits,snack,"refined wheat flour (maida), edible vegetable oil (refined rice bran oil, palmolein oil, sesame/ til oil), sugar, table butter, milk solids (smp), iodised salt"
Curls Crax,snack,"corn grits , edible vegetable oil (refined palmolein oil), &quot;seasoning (iodised salt, sugar, onion powder, chilli powder, cumin powder, garlic powder, coriander) contains added flavour(s) (natural"
Haldirams Soya Chips,snack,"tapioca starch, refined palmolein oil, potato flakes, soya flour, split pulse urd (urd dal) flour, refined sugar, iodised salt, red chilli powder, coriander powder, cumin powder, clove powder, dried mango powder, black pepper, cardamom, acidity regulator (ins 330), dried onion powder, dried garlic powder, black salt, asafoetida, bay leaf, nutmeg, cinnamon, fennel seed, turmeric"
Haldirams Aloo bhujia,snack,"potato, refined palmolein oil, bengal gram hour (besan), potato flakes,potato starch tapioca starch, tapary beans (moth dal) flour, iodised salt, red chilli powder, black salt, acidity regulator (ins 330), black pepper, clove, cardamom, dried ginger powder, dried garlic powder, refined sugar, cumin powder, bay leaves, nutmeg, cinnamon and mint leaves contains added natural, nature identical"
act-2 popcorn tomato chilli 59g,snack,"popcorn sachet: popping corn, refined edible palmolein oil and iodised salt. tomato chilli seasoning sachet (net quantity-4g): dehydrated vegetables (tomato powder, onion powder and garlic powder), chilli powder, iodised salt, sugar, yeast extract powder, stabilizer (hydrolysed vegetable protein), maltodextrin, acidity regulator (citric acid) and anticaking agent (silicon dioxide). contains added flavour [nature identical flavouring substances) see print on pack for: mrp (inclusive of all taxes), net quantity (in g), batch no. date of manufacture omato chilli flavour seasoning inside ic pped popcon. b.no"
Lays Lays Cream and Onion Patato Chips,drink,"potato, edible vegetable oil (paimolein oil, rice bran oil), sugar, iodised salt, milk products (milk solids, cheese powder) , &quot;spices"
Tong Garden Party Snack,drink,"nɔjnišiñu, party snack ถั่วอบผสมแป้งกรอบ (ตรา ทองการ์เด้น) inredients: green peas, peanuts, wheat flour, broad beans, palm olein gldinous rice flour, sugar, iodised salt, seasoning (contains garlic, pat chil cumin, turmeric, non dairy creamer, soybean, shallot), garlic, sest seeds, chili powder, pepper, artificial colour [tartrazine (e102), brilliant b fcf (e133), sunset yellow fcf (e110)], natural colour [curcumin (e10 annato (e160b)], packaging gas [nitrogen (e941)] ประกอบที่สำคัญ: ถั่วลันเตาเขียว 29%, ถั่วลิสง 22%, แป้งสาลี 16%, ถ้่วปากอ้า háula 5%, uüvinoinüaɔ 4%, tnana 3,5%, nãolalañu 2%, uvuşusa เอง กระเทียม, พริกไทย, พริก, ยี่หร่า, ขมิ้น, ครีมเทียม, ถั่วเหลือง หัวหอม) 1,5 l,run 1%, ušn 0,5%, wšnina 0,5%, đabiast:í (ins 102, ins 133, n (ins 100(0), ins 160b(0)], ñnuridoalunmsiñušnunonns (ins 941 y information: this product contains peanuts, tree n eans, gluten(wheat) and sesame seeds, processed in a d also process sulnh er may conta"
